title,director,starring,releasedate,runtime
Wings,William A. Wellman,"Clara Bow,Charles (Buddy) Rogers,Richard Arlen,Gary Cooper","August 12, 1927, (New York City, premiere),January 15, 1928, (Los Angeles)","111 minutes,144 minutes"
Cimarron,Wesley Ruggles,"Richard Dix,Irene Dunne","January 26, 1931, (Premiere-,),February 9, 1931, (,)",124 minutes
Mutiny on the Bounty,Frank Lloyd,"Charles Laughton,Clark Gable,Franchot Tone,Movita,Mamo","November 8, 1935",132 minutes
All Quiet on the Western Front,Lewis Milestone,"Lew Ayres,Louis Wolheim","April 21, 1930, (US,)","152 minutes,133 minutes (restored)"
You Can't Take It with You,Frank Capra,"Jean Arthur,Lionel Barrymore,James Stewart,Edward Arnold","August 23, 1938,September 1, 1938",126 minutes
Grand Hotel,Edmund Goulding,"Greta Garbo,John Barrymore,Joan Crawford,Wallace Beery,Lionel Barrymore,Lewis Stone,Jean Hersholt","April 12, 1932, (,)",112 minutes
Rebecca,Alfred Hitchcock,"Laurence Olivier,Joan Fontaine","March 21, 1940, (,),April 12, 1940, (USA)",130 minutes
Gone with the Wind,Victor Fleming,"Clark Gable,Vivien Leigh,Leslie Howard,Olivia de Havilland","December 15, 1939, (, premiere)",
How Green Was My Valley,"John Ford, (1971 documentary), (2017 documentary)","Walter Pidgeon,Maureen O'Hara,Donald Crisp,Anna Lee,Roddy McDowall","October 28, 1941",118 minutes
Cavalcade,Frank Lloyd,"Diana Wynyard,Clive Brook,Una O'Connor,Herbert Mundin","April 15, 1933",112 minutes
Casablanca,Michael Curtiz,"Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt,Sydney Greenstreet,Peter Lorre","November 26, 1942, (,),January 23, 1943, (United States)",102 minutes
The Lost Weekend,Billy Wilder,"Ray Milland,Jane Wyman","November 29, 1945",101 minutes
Hamlet,Laurence Olivier,,4 May 1948,155 minutes
All the King's Men,Robert Rossen,"Broderick Crawford,John Ireland,Mercedes McCambridge,Joanne Dru,John Derek,Shepperd Strudwick","November 8, 1949",110 minutes
An American in Paris,Vincente Minnelli,"Gene Kelly,Leslie Caron,Oscar Levant,Georges Guétary,Nina Foch","October 4, 1951, (New York,),January 11, 1952, (USA)",113 minutes
The Greatest Show on Earth,,"Betty Hutton,Cornel Wilde,Charlton Heston,James Stewart,Dorothy Lamour,Gloria Grahame,Lyle Bettger","January 10, 1952, (New York City, premiere),February 21, 1952, (Los Angeles)",152 minutes
Marty,Delbert Mann,"Ernest Borgnine,Betsy Blair,Joe Mantell,Frank Sutton,Karen Steele,Jerry Paris","April 11, 1955",90 minutes
Around the World in 80 Days,Michael Anderson,"Cantinflas,David Niven,Robert Newton,Shirley MacLaine","October 17, 1956, (US)",182 minutes
Gigi,Vincente Minnelli,"Leslie Caron,Louis Jourdan,Maurice Chevalier,Hermione Gingold,Eva Gabor,Jacques Bergerac,Isabel Jeans","May 15, 1958",115 minutes
West Side Story,"Robert Wise,Jerome Robbins","Natalie Wood,Richard Beymer,Rita Moreno,George Chakiris,Russ Tamblyn","October 18, 1961",152 minutes
Ben-Hur,William Wyler,"Charlton Heston,Jack Hawkins,Haya Harareet,Stephen Boyd,Hugh Griffith,Martha Scott,Cathy O'Donnell,Sam Jaffe","November 18, 1959",212 minutes
Tom Jones,Tony Richardson,"Albert Finney,Susannah York,Hugh Griffith,Edith Evans,Joan Greenwood,Diane Cilento,George Devine,David Tomlinson","29 September 1963, (,)",128 minutes
Lawrence of Arabia,David Lean,"Alec Guinness,Anthony Quinn,Jack Hawkins,José Ferrer,Anthony Quayle,Claude Rains,Arthur Kennedy,Omar Sharif,Peter O'Toole",10 December 1962,227 minutes
